//  ________________________________________________________
// /                                                        \
// |       _           _   _   _                            |
// |      | |__  _ __ / \ | |_| |__   ___ _ __   __ _       |
// |      | '_ \| '__/ _ \| __| '_ \ / _ \ '_ \ / _` |      |
// |      | |_) | | / ___ \ |_| | | |  __/ | | | (_| |      |
// |      |_.__/|_|/_/   \_\__|_| |_|\___|_| |_|\__,_|      |
// |                                                        |
// |                    brAthena Script                     |
// |--------------------------------------------------------|
// | Nome do Script: Turbo Track Modo Normal - 16 Pessoas   |
// |--------------------------------------------------------|
// | Criado por: eA/brA Dev. Team                           |
// |--------------------------------------------------------|
// | Versões eA/brA: 1.5/1.1                                |
// |--------------------------------------------------------|
// | Descrição:                                             |
// | Percurso da Turbo Track: Modo Normal - 16 Pessoas      |
// |--------------------------------------------------------|
// | Changelog:                                             |
// | 1.0 Script Traduzido [Boomer]                          |
// | 1.1 Script Otimizado [Mark]    	                    |
// | - Anotações                                            |
// \________________________________________________________/

turbo_room,91,135,3	duplicate(ChatTrack)	Modo Normal - 16 Pess	124
turbo_n_16,352,48,0	duplicate(TurboTrap)	trap_n16#F68	139,1,1
turbo_n_16,352,44,0	duplicate(TurboTrap)	trap_n16#F69	139,1,1
turbo_n_16,352,40,0	duplicate(TurboTrap)	trap_n16#F70	139,1,1
turbo_n_16,352,36,0	duplicate(TurboTrap)	trap_n16#F71	139,1,1
turbo_n_16,356,55,0	duplicate(TurboTrap)	trap_n16#F72	139,1,1
turbo_n_16,356,51,0	duplicate(TurboTrap)	trap_n16#F73	139,1,1
turbo_n_16,356,47,0	duplicate(TurboTrap)	trap_n16#F74	139,1,1
turbo_n_16,356,43,0	duplicate(TurboTrap)	trap_n16#F75	139,1,1
turbo_n_16,356,39,0	duplicate(TurboTrap)	trap_n16#F76	139,1,1
turbo_n_16,356,36,0	duplicate(TurboTrap)	trap_n16#F77	139,1,1
turbo_n_16,360,56,0	duplicate(TurboTrap)	trap_n16#F78	139,1,1
turbo_n_16,360,52,0	duplicate(TurboTrap)	trap_n16#F79	139,1,1
turbo_n_16,360,48,0	duplicate(TurboTrap)	trap_n16#F80	139,1,1
turbo_n_16,360,44,0	duplicate(TurboTrap)	trap_n16#F81	139,1,1
turbo_n_16,360,40,0	duplicate(TurboTrap)	trap_n16#F82	139,1,1
turbo_n_16,360,36,0	duplicate(TurboTrap)	trap_n16#F83	139,1,1
turbo_n_16,364,55,0	duplicate(TurboTrap)	trap_n16#F84	139,1,1
turbo_n_16,364,51,0	duplicate(TurboTrap)	trap_n16#F85	139,1,1
turbo_n_16,364,47,0	duplicate(TurboTrap)	trap_n16#F86	139,1,1
turbo_n_16,364,43,0	duplicate(TurboTrap)	trap_n16#F87	139,1,1
turbo_n_16,364,39,0	duplicate(TurboTrap)	trap_n16#F88	139,1,1
turbo_n_16,364,36,0	duplicate(TurboTrap)	trap_n16#F89	139,1,1
turbo_n_16,368,56,0	duplicate(TurboTrap)	trap_n16#F90	139,1,1
turbo_n_16,368,52,0	duplicate(TurboTrap)	trap_n16#F91	139,1,1
turbo_n_16,368,48,0	duplicate(TurboTrap)	trap_n16#F92	139,1,1
turbo_n_16,368,44,0	duplicate(TurboTrap)	trap_n16#F93	139,1,1
turbo_n_16,368,40,0	duplicate(TurboTrap)	trap_n16#F94	139,1,1
turbo_n_16,368,36,0	duplicate(TurboTrap)	trap_n16#F95	139,1,1

turbo_n_16,217,214,0	duplicate(BingTrack1)	bing#n16	45,3,3
turbo_n_16,217,214,0	duplicate(BingTrack2)	bing2#n16	45,3,3
